Designator,Mid X,Mid Y,Rotation,Layer
A1,90.01,-56.0,0.0,top
A2,108.27,-126.11,90.0,top
A3,109.01,-56.0,0.0,top
A4,128.01,-56.0,0.0,top
A5,147.01,-56.0,0.0,top
A6,166.01,-56.0,0.0,top
J1,174.27,-137.0,90.0,top
J2,90.01,-43.0,90.0,top
J3,109.01,-43.0,90.0,top
J4,128.01,-43.0,90.0,top
J5,147.01,-43.0,90.0,top
J6,166.01,-43.0,90.0,top
