130,60,0
130,110,0
230,110,0
230,60,0
130,60,0
167,67,0
162,67,0
161,67,0
161,66,0
162,66,0
166,66,0
167,67,0
168,67,0
168,66,0
172,66,0
173,66,0
173,67,0
172,67,0
168,67,0
173,69,0
155,72,0
152,65,0
198,63,0
206,72,0
230,72,0
208,71,0
208,60,0
206,64,0
154,64,0
151,60,0
151,71,0
130,71,0
193,72,0
199,66,0
160,66,0
173,69,0
174,68,0
185,68,0
186,70,0
175,71,0
174,68,0
173,69,0
174,71,0
187,71,0
187,69,0
192,69,0
192,72,0
168,72,0
168,69,0
173,69,0
187,69,0
187,68,0
187,68,0
192,68,0
192,69,0
187,69,0
187,69,0
187,67,0
187,67,0
187,66,0
187,66,0
192,66,0
192,66,0
192,67,0
187,67,0
193,67,0
193,66,0
194,66,0
198,66,0
199,66,0
199,67,0
198,67,0
194,67,0
193,67,0
192,88,0
154,88,0
151,91,0
130,91,0
151,92,0
151,110,0
155,88,0
191,88,0
201,91,0
192,88,0
204,91,0
205,91,0
211,91,0
211,91,0
207,91,0
206,91,0
204,91,0
207,92,0
207,110,0
208,92,0
230,91,0
207,92,0
