y,min_x,max_x
56.2916512459885,73.5,326.5
57.15767664977293,73.0,327.0
58.02370205355737,72.5,327.5
58.889727457341806,72.0,328.0
59.75575286112625,71.5,328.5
60.62177826491069,71.0,329.0
61.48780366869512,70.5,328.5
62.35382907247956,70.0,328.0
63.219854476264004,69.5,327.5
64.08587988004844,69.0,327.0
64.95190528383287,69.5,326.5
65.81793068761732,68.0,326.0
66.68395609140175,67.5,325.5
67.54998149518619,67.0,325.0
68.41600689897064,66.5,324.5
69.28203230275507,66.0,324.0
70.1480577065395,66.5,323.5
71.01408311032395,66.0,323.0
71.88010851410839,66.5,322.5
72.74613391789282,67.0,322.0
73.61215932167727,68.5,321.5
74.4781847254617,68.0,321.0
75.34421012924614,69.5,320.5
76.21023553303058,69.0,320.0
77.07626093681502,70.5,319.5
77.94228634059945,70.0,319.0
78.80831174438389,71.5,318.5
79.67433714816833,71.0,318.0
80.54036255195277,72.5,317.5
81.4063879557372,72.0,317.0
82.27241335952165,73.5,316.5
83.13843876330608,73.0,316.0
84.00446416709052,74.5,315.5
84.87048957087497,74.0,315.0
85.7365149746594,75.5,314.5
86.60254037844383,75.0,314.0
87.46856578222828,76.5,313.5
88.33459118601272,76.0,313.0
89.20061658979715,77.5,312.5
90.06664199358158,77.0,312.0
90.93266739736603,77.5,311.5
91.79869280115047,78.0,311.0
92.6647182049349,79.5,310.5
93.53074360871935,79.0,310.0
94.39676901250378,80.5,309.5
95.26279441628822,80.0,309.0
96.12881982007266,81.5,308.5
96.9948452238571,81.0,308.0
97.86087062764153,82.5,307.5
98.72689603142598,82.0,307.0
99.59292143521041,83.5,306.5
100.45894683899485,83.0,306.0
101.3249722427793,84.5,305.5
102.19099764656373,84.0,305.0
103.05702305034816,85.5,304.5
103.92304845413261,85.0,304.0
